test,N,FP_Manufacturer,FP_refineR,FP_Continuous,FP_Guven,FP_Direct
Fibrinogen,3166,15.792798483891346,20.751737207833227,20.846493998736577,NA,22.20467466835123
PT,17000,17.41764705882353,13.617647058823529,12.929411764705883,29.729411764705883,10.105882352941176
aPTT,17001,32.327510146461975,11.475795541438739,10.705252632198105,15.422622198694194,9.364155049702958
