test,N_3SD,FP_Manufacturer_3SD,FP_refineR_3SD,FP_Continuous_3SD,FP_Guven_3SD,N_RAW,FP_Manufacturer_RAW,FP_refineR_RAW,FP_Continuous_RAW,FP_Guven_RAW,delta_N,delta_Manufacturer,delta_refineR,delta_Continuous,delta_Guven
Fibrinogen,3111,14.304082288653166,19.350691096110577,17.90421086467374,NA,3166,15.792798483891346,20.751737207833227,19.330385344283005,NA,55,1.4887161952381796,1.4010461117226498,1.4261744796092657,NA
PT,16907,16.963387945821257,13.14248536109304,11.385816525699417,29.342875731945348,17000,17.41764705882353,13.617647058823529,11.870588235294118,29.729411764705883,93,0.45425911300227284,0.47516169773048844,0.4847717095947015,0.38653603276053516
aPTT,16900,31.923076923076923,10.946745562130175,10.005917159763314,14.91715976331361,17001,32.327510146461975,11.475795541438739,10.540556437856596,15.422622198694194,101,0.40443322338505183,0.5290499793085637,0.534639278093282,0.5054624353805846
