test,age_int,n,fp_manufacturer,fp_refiner,fp_continuous,fp_guven
Fibrinogen,1,206,17.96116504854369,17.96116504854369,20.388349514563107,NA
Fibrinogen,2,165,15.757575757575756,17.575757575757574,15.757575757575756,NA
Fibrinogen,3,136,15.441176470588236,18.38235294117647,18.38235294117647,NA
Fibrinogen,4,146,13.698630136986301,21.91780821917808,21.232876712328768,NA
Fibrinogen,5,170,11.176470588235295,13.529411764705882,13.529411764705882,NA
Fibrinogen,6,168,10.119047619047619,14.285714285714285,13.690476190476192,NA
Fibrinogen,7,164,13.414634146341465,19.51219512195122,19.51219512195122,NA
Fibrinogen,8,154,14.285714285714285,14.935064935064934,14.935064935064934,NA
Fibrinogen,9,147,12.925170068027212,18.367346938775512,16.3265306122449,NA
Fibrinogen,10,162,13.580246913580247,20.37037037037037,19.1358024691358,NA
Fibrinogen,11,137,8.75912408759124,15.328467153284672,12.408759124087592,NA
Fibrinogen,12,139,12.23021582733813,17.985611510791365,16.546762589928058,NA
Fibrinogen,13,164,11.585365853658537,18.902439024390244,16.463414634146343,NA
Fibrinogen,14,186,16.129032258064516,20.43010752688172,19.892473118279568,NA
Fibrinogen,15,232,12.931034482758621,19.396551724137932,16.379310344827587,NA
Fibrinogen,16,270,15.555555555555555,20.74074074074074,18.51851851851852,NA
Fibrinogen,17,365,19.17808219178082,27.671232876712327,23.28767123287671,NA
PT,1,1143,16.885389326334206,14.698162729658792,13.21084864391951,21.95975503062117
PT,2,873,17.525773195876287,15.120274914089347,13.745704467353953,29.553264604810998
PT,3,745,16.51006711409396,14.093959731543624,12.885906040268457,30.469798657718123
PT,4,822,14.963503649635038,11.557177615571776,9.48905109489051,31.143552311435524
PT,5,970,15.051546391752577,11.443298969072165,9.896907216494846,30.20618556701031
PT,6,1030,15.53398058252427,11.067961165048544,9.902912621359224,30.194174757281555
PT,7,1020,16.274509803921568,13.823529411764707,11.27450980392157,27.254901960784313
PT,8,934,13.49036402569593,10.706638115631693,9.635974304068522,22.055674518201286
PT,9,877,17.67388825541619,12.428734321550742,10.604332953249715,31.12884834663626
PT,10,837,14.575866188769416,10.63321385902031,9.438470728793309,29.868578255675033
PT,11,771,13.878080415045396,9.59792477302205,8.690012970168612,32.295719844357976
PT,12,791,17.572692793931733,11.504424778761061,8.72313527180784,38.93805309734513
PT,13,899,17.797552836484982,12.569521690767518,10.122358175750835,39.93325917686318
PT,14,959,18.561001042752867,14.077163712200209,12.721584984358708,36.809176225234616
PT,15,1219,18.78589007383101,14.602132895816242,11.977030352748153,31.33716160787531
PT,16,1391,20.632638389647738,16.175413371675056,14.306254493170382,27.534148094895762
PT,17,1626,18.51168511685117,14.883148831488317,12.976629766297663,19.92619926199262
aPTT,1,1153,38.768430182133564,15.437987857762359,14.310494362532525,18.386816999132698
aPTT,2,875,36.57142857142857,16,14.057142857142857,18.4
aPTT,3,735,34.42176870748299,11.292517006802722,10.068027210884352,12.108843537414966
aPTT,4,818,33.12958435207824,10.635696821515893,9.5354523227383865,12.102689486552567
aPTT,5,966,36.231884057971016,10.766045548654244,9.937888198757763,12.008281573498964
aPTT,6,1012,39.22924901185771,10.57312252964427,9.387351778656127,12.154150197628459
aPTT,7,1024,35.7421875,10.64453125,9.9609375,13.76953125
aPTT,8,930,36.45161290322581,9.46236559139785,8.60215053763441,14.086021505376344
aPTT,9,880,36.81818181818181,12.272727272727273,11.022727272727273,14.09090909090909
aPTT,10,841,32.461355529131986,10.344827586206897,9.512485136741974,12.48513674197384
aPTT,11,779,32.99101412066752,10.012836970474968,9.114249037227214,11.810012836970476
aPTT,12,787,31.003811944091485,10.673443456162643,9.275730622617536,13.087674714104194
aPTT,13,883,28.652321630804078,10.079275198187995,10.30577576443941,13.476783691959229
aPTT,14,959,28.675703858185607,11.470281543274243,10.636079249217936,16.16266944734098
aPTT,15,1190,24.201680672268907,8.823529411764707,8.319327731092436,15.042016806722689
aPTT,16,1387,24.51333813987022,9.66113914924297,8.868060562364816,17.73612112472963
aPTT,17,1681,23.67638310529447,9.458655562165378,8.447352766210589,19.393218322427128
