test,age_int,n,ri_source,fp_rate
PT,8,942,Direct (a posteriori),8.70488322717622
PT,9,881,Manufacturer,18.047673098751417
PT,9,881,refineR,12.826333711691259
PT,9,881,Continuous (GAMLSS),11.91827468785471
PT,9,881,Guven et al.,31.441543700340524
PT,9,881,Direct (a posteriori),9.875141884222474
PT,10,841,Manufacturer,14.982164090368608
PT,10,841,refineR,11.058263971462544
PT,10,841,Continuous (GAMLSS),10.70154577883472
PT,10,841,Guven et al.,30.202140309155766
PT,10,841,Direct (a posteriori),8.204518430439952
PT,11,775,Manufacturer,14.32258064516129
PT,11,775,refineR,10.064516129032258
PT,11,775,Continuous (GAMLSS),9.290322580645162
PT,11,775,Guven et al.,32.645161290322584
PT,11,775,Direct (a posteriori),7.483870967741936
PT,12,793,Manufacturer,17.78058007566204
PT,12,793,refineR,11.727616645649434
PT,12,793,Continuous (GAMLSS),10.718789407313997
PT,12,793,Guven et al.,39.09205548549811
PT,12,793,Direct (a posteriori),7.6923076923076925
PT,13,901,Manufacturer,17.980022197558267
PT,13,901,refineR,12.763596004439512
PT,13,901,Continuous (GAMLSS),11.098779134295228
PT,13,901,Guven et al.,40.066592674805776
PT,13,901,Direct (a posteriori),8.76803551609323
PT,14,964,Manufacturer,18.983402489626556
PT,14,964,refineR,14.522821576763487
PT,14,964,Continuous (GAMLSS),14.419087136929459
PT,14,964,Guven et al.,37.136929460580916
PT,14,964,Direct (a posteriori),11.20331950207469
PT,15,1227,Manufacturer,19.315403422982886
PT,15,1227,refineR,15.158924205378973
PT,15,1227,Continuous (GAMLSS),13.121434392828036
PT,15,1227,Guven et al.,31.784841075794624
PT,15,1227,Direct (a posteriori),11.083944580277098
PT,16,1395,Manufacturer,20.86021505376344
PT,16,1395,refineR,16.415770609318997
PT,16,1395,Continuous (GAMLSS),14.910394265232977
PT,16,1395,Guven et al.,27.741935483870968
PT,16,1395,Direct (a posteriori),11.899641577060931
PT,17,1629,Manufacturer,18.661755678330262
PT,17,1629,refineR,15.039901780233272
PT,17,1629,Continuous (GAMLSS),14.671577655003068
PT,17,1629,Guven et al.,20.073664825046038
PT,17,1629,Direct (a posteriori),10.988336402701043
aPTT,1,1172,Manufacturer,39.76109215017065
aPTT,1,1172,refineR,16.808873720136518
aPTT,1,1172,Continuous (GAMLSS),12.457337883959044
aPTT,1,1172,Guven et al.,19.7098976109215
aPTT,1,1172,Direct (a posteriori),11.006825938566553
