test,ri_source,n,pct_below,pct_above,pct_total
Fibrinogen,Continuous,3166,2.779532533164877,18.066961465571698,20.846493998736573
Fibrinogen,Direct,3166,6.285533796588756,15.919140871762478,22.204674668351235
Fibrinogen,Manufacturer,3166,3.5691724573594446,12.223626026531901,15.792798483891346
Fibrinogen,refineR,3166,2.779532533164877,17.97220467466835,20.751737207833227
PT,Continuous,17000,2.4176470588235297,10.511764705882353,12.929411764705883
PT,Direct,17000,2.041176470588235,8.064705882352941,10.105882352941176
PT,Guven,17000,0.18823529411764706,29.541176470588237,29.729411764705883
PT,Manufacturer,17000,1.0058823529411764,16.411764705882355,17.417647058823533
PT,refineR,17000,2.1411764705882352,11.476470588235294,13.617647058823529
aPTT,Continuous,17001,5.999647079583554,4.705605552614553,10.705252632198107
aPTT,Direct,17001,4.9526498441268165,4.411505205576143,9.364155049702958
aPTT,Guven,17001,11.05229104170343,4.3703311569907655,15.422622198694196
aPTT,Manufacturer,17001,6.246691371095818,26.080818775366154,32.327510146461975
aPTT,refineR,17001,7.264278571848715,4.211516969590024,11.475795541438739
