test,N,FP_Manufacturer,FP_refineR,FP_Continuous,FP_Guven
Fibrinogen,3111,14.304082288653166,19.350691096110577,17.90421086467374,NA
PT,16907,16.963387945821257,13.142485361093039,11.385816525699415,29.342875731945348
aPTT,16900,31.923076923076923,10.946745562130177,10.005917159763314,14.91715976331361
