test,department,origin_rule,origin,n
Fibrinogen,COCUK SAGLIGI VE HAST POL - 13 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,17
Fibrinogen,COCUK SAGLIGI VE HAST POL -17 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,17
Fibrinogen,COCUK ENFEKSIYON POL. - 1 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,14
Fibrinogen,GIRISIMSEL RADYOLOJI POL.,R3_poliklinik_muayene,Outpatient,12
Fibrinogen,COCUK ROMATOLOJI POL. - 1,R3_poliklinik_muayene,Outpatient,10
Fibrinogen,COCUK GOGUS HASTALIKLARI-1,R5_numarali_brans_birimi,Outpatient,9
Fibrinogen,COCUK GOGUS HASTALIKLARI-2,R5_numarali_brans_birimi,Outpatient,9
Fibrinogen,COCUK ACIL GOZLEM ARENASI-2,R2_acil,Outpatient,8
Fibrinogen,COCUK SAGLIGI VE HAST. POL. -9 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,8
Fibrinogen,ANESTEZI POL. - 1 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,7
Fibrinogen,COCUK SAGLIGI VE HAST POL -16 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,7
Fibrinogen,GOZ HASTALIKLARI POL. - 11 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,7
Fibrinogen,COCUK ACIL YESIL ALAN-4,R2_acil,Outpatient,6
Fibrinogen,GOZ HASTALIKLARI POL. - 1 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,6
Fibrinogen,COCUK ENFEKSIYON POL. - 2 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,5
Fibrinogen,ORTOPEDI POL. - 1 (ONK),R3_poliklinik_muayene,Outpatient,5
Fibrinogen,ORTOPEDI POL. - 6 (ONK),R3_poliklinik_muayene,Outpatient,5
Fibrinogen,COCUK CERRAHI POL. - 3 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,4
Fibrinogen,COCUK GASTROENTROLOJI POL. - 4 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,4
Fibrinogen,COCUK IMMUNOLOJI VE ALERJI POL. - 3 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,4
Fibrinogen,COCUK SAGLIGI VE HAST POL -4 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,4
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -6 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,4
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -7 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,4
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -9 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,4
Fibrinogen,ORTOPEDI POL. - 5 (ONK),R3_poliklinik_muayene,Outpatient,4
Fibrinogen,TIBBI RETINA -2 (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,4
Fibrinogen,COCUK CERRAHI POL. - 1 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,3
Fibrinogen,COCUK IBH (Inflamatuar Bagirsak Hastaligi) POLIKLI,R3_poliklinik_muayene,Outpatient,3
Fibrinogen,COCUK NOROLOJI POL. -2 (2.KAT),R3_poliklinik_muayene,Outpatient,3
Fibrinogen,DERMATOLOJI - 7,R5_numarali_brans_birimi,Outpatient,3
Fibrinogen,ORTOPEDI POL. - 7 (ONK),R3_poliklinik_muayene,Outpatient,3
Fibrinogen,ORTOPEDI POL. - 9 (ONK),R3_poliklinik_muayene,Outpatient,3
Fibrinogen,TIBBI RETINA CERRAHI -5 (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,3
Fibrinogen,COCUK NOROLOJI POL. -4 (2.KAT),R3_poliklinik_muayene,Outpatient,2
Fibrinogen,GOZ HASTALIKLARI POL. - 3 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,2
Fibrinogen,GOZ HASTALIKLARI POL. - 6 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,2
Fibrinogen,GOZ HASTALIKLARI POL. -18(ONK 3. KAT),R3_poliklinik_muayene,Outpatient,2
Fibrinogen,KORNEA (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -12 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -14 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -2 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -3 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,UVEA NOROOFAL (ONK 1.KAT),R5_numarali_brans_birimi,Outpatient,2
Fibrinogen,ACIL GOZLEM ODASI - 8,R2_acil,Outpatient,1
Fibrinogen,ANESTEZI POL. - 2 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,ANESTEZI POL. - 4 (GNL 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,ANESTEZI POL. -1 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,BEYIN CERRAHI POL. - 4 (GNL),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK CERRAHI POL. - 2 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK GENETIK POL. - 1 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK IMMUNOLOJI VE ALERJI POL. - 2 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK IMMUNOLOJI VE ALERJI POL. - 6 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK KARDIYOLOJI - 2,R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,COCUK NOROLOJI POL. -1 (2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK NOROLOJI POL. -3 (2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK NOROLOJI POL. -5 (2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK PSIKIYATRI POL. -11 (FTR),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK PSIKIYATRI POL. -8 (1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK SAGLIGI VE HAST POL - 18 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK SAGLIGI VE HAST POL -14 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,COCUK SAGLIGI VE HAST. POL. -7 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,DAHILIYE - 10 (MH),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,DERMATOLOJI - 16,R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,DERMATOLOJI - 18,R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,DERMATOLOJI - 5,R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,EL CERRAHISI POL. - 1 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,FTR MUAYENE ODASI 2,R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GASTROENTOLOJI POL. - 1 (MH 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 10 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 12 (ONK 3. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 14 (ONK 3. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 4 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 5 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 7 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 8 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. - 9 (ONK 1. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,GOZ HASTALIKLARI POL. -17(ONK 3. KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,INFERTILITE POL. - 1 (KD 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,JINEKOLOJIK ONK. CERRAHI POL. - 2 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,KADIN HASTALIKLARI VE DOGUM POL. - 6 (KD 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,KADIN HASTALIKLARI VE DOGUM POL. - 8 (KD 1.KAT),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ (MESAI DISI POLIKLINIGI),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI - 15 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -11 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -16 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -17 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -4 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,KULAK BURUN BOGAZ HASTALIKLARI -5 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,1
Fibrinogen,ORTOPEDI POL. - 11 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,ORTOPEDI POL. - 2 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,ORTOPEDI POL. - 3 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,ORTOPEDI POL. - 4 (ONK),R3_poliklinik_muayene,Outpatient,1
Fibrinogen,SOSYAL PEDIATRI POL.-1 (KD 2.KAT),R3_poliklinik_muayene,Outpatient,1
